atom_number,atom_id,atom_name,series_number,series_name,review_lane,proposed_hero_grade,structural_score,repetition_cluster_size,refinement_priority,execution_wave,execution_reason,execution_action
604,escalation-cool,The Escalation Cool Engine,61,The Aikido Redirect,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
632,gravity-assist-slingshot,The Gravity Assist Engine,64,The Momentum Theft,composition-pass,playable,7,87,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
634,gear-reversal-flip,The Gear Reversal Engine,64,The Momentum Theft,composition-pass,playable,7,87,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
639,slipstream-draft,The Slipstream Draft Engine,64,The Momentum Theft,composition-pass,playable,7,87,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
641,aerodynamic-draft,The Aerodynamic Draft Engine,65,The Slipstream,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
643,thermal-updraft-lift,The Thermal Updraft Engine,65,The Slipstream,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
645,bow-wave-surf,The Bow Wave Engine,65,The Slipstream,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
646,wake-ride-pioneer,The Wake Ride Engine,65,The Slipstream,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
647,capillary-action-rise,The Capillary Action Engine,65,The Slipstream,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
651,rotational-boundary,The Rotational Boundary Engine,66,The Centrifuge,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
656,orbital-deflection,The Orbital Deflection Engine,66,The Centrifuge,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
658,expanding-radius,The Expanding Radius Engine,66,The Centrifuge,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
659,tether-snap-release,The Tether Snap Engine,66,The Centrifuge,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
660,apex-centrifuge,The Apex Centrifuge Engine,66,The Centrifuge,composition-pass,playable,7,87,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
665,meshed-gears-lock,The Meshed Gears Engine,67,The Harmonious Friction,composition-pass,playable,7,87,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
675,slackline-balance,The Slackline Engine,68,The Counter-Balance,composition-pass,playable,7,87,high,wave-3,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
680,apex-equilibrium,The Apex Equilibrium Engine,68,The Counter-Balance,composition-pass,playable,7,87,high,wave-3,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
602,heavy-momentum-throw,The Heavy Momentum Engine,61,The Aikido Redirect,composition-pass,playable,6,59,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
603,corner-trap-pivot,The Corner Trap Engine,61,The Aikido Redirect,composition-pass,playable,6,59,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
606,rigid-stance-sidestep,The Rigid Stance Engine,61,The Aikido Redirect,composition-pass,playable,6,59,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
611,sharp-corner-handle,The Sharp Corner Engine,62,The Bezier Curve,composition-pass,playable,6,59,high,wave-4,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
615,tangent-handle-retract,The Tangent Handle Engine,62,The Bezier Curve,composition-pass,playable,6,59,high,wave-4,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
617,u-turn-slingshot,The U-Turn Slingshot Engine,62,The Bezier Curve,composition-pass,playable,6,59,high,wave-4,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
629,non-newtonian-floor,The Non-Newtonian Floor Engine,63,The Elastic Yield,composition-pass,playable,6,59,high,wave-4,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
631,kinetic-siphon-transfer,The Kinetic Siphon Engine,64,The Momentum Theft,composition-pass,playable,6,59,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
635,trebuchet-counterweight,The Trebuchet Engine,64,The Momentum Theft,composition-pass,playable,6,59,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
638,angular-theft-stabilize,The Angular Theft Engine,64,The Momentum Theft,composition-pass,playable,6,59,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
653,vortex-core-stillness,The Vortex Core Engine,66,The Centrifuge,composition-pass,playable,6,59,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
654,gyroscopic-stabilizer,The Gyroscopic Stabilizer Engine,66,The Centrifuge,composition-pass,playable,6,59,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
664,ignition-spark-strike,The Ignition Spark Engine,67,The Harmonious Friction,composition-pass,playable,6,59,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
666,traction-loss-grit,The Traction Loss Engine,67,The Harmonious Friction,composition-pass,playable,6,59,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
679,tension-strut-tensegrity,The Tension Strut Engine,68,The Counter-Balance,composition-pass,playable,6,59,high,wave-3,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
686,keystone-removal,The Keystone Removal Engine,69,The Minimum Effective Dose,composition-pass,playable,6,59,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
692,chinese-finger-trap,The Chinese Finger Trap Engine,70,The Wu Wei Master,composition-pass,playable,6,59,high,wave-3,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
608,false-target-matador,The False Target Engine,61,The Aikido Redirect,composition-pass,playable,6,55,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
609,frictionless-plane,The Frictionless Plane Engine,61,The Aikido Redirect,composition-pass,playable,6,55,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
618,intersection-overpass,The Intersection Overpass Engine,62,The Bezier Curve,composition-pass,playable,6,55,high,wave-4,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
622,bowed-reed,The Bowed Reed Engine,63,The Elastic Yield,composition-pass,playable,6,55,high,wave-4,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
626,shock-absorber-sponge,The Shock Absorber Engine,63,The Elastic Yield,composition-pass,playable,6,55,high,wave-4,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
644,path-least-resistance,The Path of Least Resistance Engine,65,The Slipstream,composition-pass,playable,6,55,high,wave-1,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
661,black-ice-grip,The Black Ice Engine,67,The Harmonious Friction,composition-pass,playable,6,55,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
667,cleaving-wedge-break,The Cleaving Wedge Engine,67,The Harmonious Friction,composition-pass,playable,6,55,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
669,micro-adjustment-steer,The Micro-Adjustment Engine,67,The Harmonious Friction,composition-pass,playable,6,55,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
673,ballast-drop-gravity,The Ballast Drop Engine,68,The Counter-Balance,composition-pass,playable,6,55,high,wave-3,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
682,one-pixel-tap,The One-Pixel Tap Engine,69,The Minimum Effective Dose,composition-pass,playable,6,55,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
683,lead-domino-cascade,The Lead Domino Engine,69,The Minimum Effective Dose,composition-pass,playable,6,55,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
687,boiling-point-degree,The Boiling Point Engine,69,The Minimum Effective Dose,composition-pass,playable,6,55,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
688,acupuncture-needle,The Acupuncture Needle Engine,69,The Minimum Effective Dose,composition-pass,playable,6,55,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
689,trim-tab-correction,The Trim Tab Engine,69,The Minimum Effective Dose,composition-pass,playable,6,55,high,wave-2,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
696,permeable-membrane,The Permeable Membrane Engine,70,The Wu Wei Master,composition-pass,playable,6,55,high,wave-3,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
699,ghost-node-disidentify,The Ghost Node Engine,70,The Wu Wei Master,composition-pass,playable,6,55,high,wave-3,High cluster pressure. Differentiate before anything else.,Rework counterforce and aftermath so the mechanic stops overlapping with its cluster.
601,linear-strike-redirect,The Linear Strike Engine,61,The Aikido Redirect,composition-pass,playable,6,35,high,wave-1,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
633,inelastic-latch-fuse,The Inelastic Latch Engine,64,The Momentum Theft,composition-pass,playable,6,35,high,wave-2,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
657,flywheel-momentum,The Flywheel Engine,66,The Centrifuge,composition-pass,playable,6,35,high,wave-1,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
668,sounding-board-ricochet,The Sounding Board Engine,67,The Harmonious Friction,composition-pass,playable,6,35,high,wave-2,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
672,counter-steer-skid,The Counter-Steer Engine,68,The Counter-Balance,composition-pass,playable,6,35,high,wave-3,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
676,outrigger-expand,The Outrigger Engine,68,The Counter-Balance,composition-pass,playable,6,35,high,wave-3,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
690,apex-economy,The Apex Economy Engine,69,The Minimum Effective Dose,composition-pass,playable,6,35,high,wave-2,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
662,brake-caliper-stop,The Brake Caliper Engine,67,The Harmonious Friction,composition-pass,playable,7,30,high,wave-2,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
610,kinetic-conversion-turbine,The Kinetic Conversion Engine,61,The Aikido Redirect,composition-pass,playable,7,28,high,wave-1,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
620,master-spline-smooth,The Master Spline Engine,62,The Bezier Curve,composition-pass,playable,7,28,high,wave-4,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
624,viscoelastic-creep,The Viscoelastic Creep Engine,63,The Elastic Yield,composition-pass,playable,7,28,high,wave-4,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
627,shape-memory-recall,The Shape Memory Engine,63,The Elastic Yield,composition-pass,playable,7,28,high,wave-4,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
655,particle-separation,The Particle Separation Engine,66,The Centrifuge,composition-pass,playable,7,28,high,wave-1,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
623,slingshot-comeback,The Slingshot Comeback Engine,63,The Elastic Yield,composition-pass,playable,6,17,high,wave-4,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
678,delayed-shift-wait,The Delayed Shift Engine,68,The Counter-Balance,composition-pass,playable,6,17,high,wave-3,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
685,unfilled-space-silence,The Unfilled Space Engine,69,The Minimum Effective Dose,composition-pass,playable,6,17,high,wave-2,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
691,muddy-water-settle,The Muddy Water Engine,70,The Wu Wei Master,composition-pass,playable,6,17,high,wave-3,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
693,unfed-fire-starve,The Unfed Fire Engine,70,The Wu Wei Master,composition-pass,playable,6,17,high,wave-3,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
694,mutual-annihilation,The Mutual Annihilation Engine,70,The Wu Wei Master,composition-pass,playable,6,17,high,wave-3,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
695,false-alarm-ignore,The False Alarm Engine,70,The Wu Wei Master,composition-pass,playable,6,17,high,wave-3,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
697,tangled-knot-slack,The Tangled Knot Engine,70,The Wu Wei Master,composition-pass,playable,6,17,high,wave-3,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
698,vacuum-pull-magnetism,The Vacuum Pull Engine,70,The Wu Wei Master,composition-pass,playable,6,17,high,wave-3,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
700,apex-wu-wei,The Apex Wu Wei Engine,70,The Wu Wei Master,composition-pass,playable,6,17,high,wave-3,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
605,kinetic-return-curve,The Kinetic Return Engine,61,The Aikido Redirect,composition-pass,playable,6,13,high,wave-1,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
625,tension-net-weave,The Tension Net Engine,63,The Elastic Yield,composition-pass,playable,6,13,high,wave-4,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
677,phase-cancellation-wave,The Phase Cancellation Engine,68,The Counter-Balance,composition-pass,playable,6,13,high,wave-3,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
612,sawtooth-spline,The Sawtooth Spline Engine,62,The Bezier Curve,composition-pass,playable,7,12,high,wave-4,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
613,binary-fork-merge,The Binary Fork Engine,62,The Bezier Curve,composition-pass,playable,6,12,high,wave-4,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
628,impact-radius-release,The Impact Radius Engine,63,The Elastic Yield,composition-pass,playable,6,12,high,wave-4,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
642,laminar-flow-smooth,The Laminar Flow Engine,65,The Slipstream,composition-pass,playable,7,12,high,wave-1,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
684,resonant-frequency-shatter,The Resonant Frequency Engine,69,The Minimum Effective Dose,composition-pass,playable,7,12,high,wave-2,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
607,multiple-fronts-flow,The Multiple Fronts Engine,61,The Aikido Redirect,composition-pass,playable,7,11,high,wave-1,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
614,forced-detour-arc,The Forced Detour Engine,62,The Bezier Curve,composition-pass,playable,7,11,high,wave-4,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
616,asymptote-collision,The Asymptote Engine,62,The Bezier Curve,composition-pass,playable,7,11,high,wave-4,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
636,valve-redirect-thrust,The Valve Redirect Engine,64,The Momentum Theft,composition-pass,playable,7,11,high,wave-2,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
650,zero-drag-teardrop,The Zero-Drag Engine,65,The Slipstream,composition-pass,playable,7,11,high,wave-1,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
681,archimedes-lever,The Archimedes Lever Engine,69,The Minimum Effective Dose,composition-pass,playable,7,11,high,wave-2,High refinement pressure. Tighten consequence and closure.,"Increase hero occupancy, consequence, and visible resolution artifact."
630,invincible-membrane,The Invincible Membrane Engine,63,The Elastic Yield,composition-pass,playable,7,6,medium,wave-4,Secondary polish after the high-pressure atoms move.,Hold until wave pressure above it is reduced.
637,whip-crack-propagation,The Whip Crack Engine,64,The Momentum Theft,composition-pass,playable,7,6,medium,wave-2,Secondary polish after the high-pressure atoms move.,Hold until wave pressure above it is reduced.
640,absolute-robbery,The Absolute Robbery Engine,64,The Momentum Theft,composition-pass,playable,6,5,medium,wave-2,Secondary polish after the high-pressure atoms move.,Hold until wave pressure above it is reduced.
674,micro-weight-calibrate,The Micro-Weight Engine,68,The Counter-Balance,composition-pass,playable,7,5,medium,wave-3,Secondary polish after the high-pressure atoms move.,Hold until wave pressure above it is reduced.
619,tension-catenary,The Tension Catenary Engine,62,The Bezier Curve,composition-pass,playable,7,4,medium,wave-4,Secondary polish after the high-pressure atoms move.,Hold until wave pressure above it is reduced.
649,buoyant-ascent-release,The Buoyant Ascent Engine,65,The Slipstream,composition-pass,playable,7,4,medium,wave-1,Secondary polish after the high-pressure atoms move.,Hold until wave pressure above it is reduced.
652,angular-velocity-shed,The Angular Velocity Engine,66,The Centrifuge,composition-pass,playable,7,3,medium,wave-1,Secondary polish after the high-pressure atoms move.,Hold until wave pressure above it is reduced.
621,trampoline-rebound,The Trampoline Engine,63,The Elastic Yield,composition-pass,playable,6,1,medium,wave-4,Secondary polish after the high-pressure atoms move.,Hold until wave pressure above it is reduced.
648,phase-alignment-gate,The Phase Alignment Engine,65,The Slipstream,composition-pass,playable,7,1,medium,wave-1,Secondary polish after the high-pressure atoms move.,Hold until wave pressure above it is reduced.
670,apex-carve-slalom,The Apex Carve Engine,67,The Harmonious Friction,hero-pass,hero-grade,8,3,low,wave-2,Protect the outlier. Use it as a local benchmark for the series.,Manual hero polish only. Do not dilute the current law.
671,pendulum-dampener,The Pendulum Dampener Engine,68,The Counter-Balance,hero-pass,hero-grade,8,3,low,wave-3,Protect the outlier. Use it as a local benchmark for the series.,Manual hero polish only. Do not dilute the current law.
663,grindstone-edge,The Grindstone Engine,67,The Harmonious Friction,hero-pass,hero-grade,8,1,low,wave-2,Protect the outlier. Use it as a local benchmark for the series.,Manual hero polish only. Do not dilute the current law.
