batch_id,atom_id,payload_json
navicue-atom-approved-2026-03-06T21:43:20.605Z,brown-noise,"{""atom_id"":""brown-noise"",""atom_number"":46,""atom_name"":""The Brown Noise Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.521Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,thermodynamic,"{""atom_id"":""thermodynamic"",""atom_number"":10,""atom_name"":""The Thermodynamic Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,audio-zoom,"{""atom_id"":""audio-zoom"",""atom_number"":45,""atom_name"":""The Audio Zoom Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,standing-wave,"{""atom_id"":""standing-wave"",""atom_number"":49,""atom_name"":""The Standing Wave Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,phase-shift,"{""atom_id"":""phase-shift"",""atom_number"":2,""atom_name"":""The Phase-Shift Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,wave-collapse,"{""atom_id"":""wave-collapse"",""atom_number"":11,""atom_name"":""The Wave Collapse Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,cymatic-coherence,"{""atom_id"":""cymatic-coherence"",""atom_number"":44,""atom_name"":""The Cymatic Coherence Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,respiration-pendulum,"{""atom_id"":""respiration-pendulum"",""atom_number"":282,""atom_name"":""The Respiration Pendulum Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,sand-mandala,"{""atom_id"":""sand-mandala"",""atom_number"":262,""atom_name"":""The Sand Mandala Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,symbiotic,"{""atom_id"":""symbiotic"",""atom_number"":7,""atom_name"":""The Symbiotic Engine"",""approved_grade"":""signature"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:17.522Z"",""source"":""wave1-benchmark""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,somatic-resonance,"{""atom_id"":""somatic-resonance"",""atom_number"":4,""atom_name"":""The Somatic Resonance Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,constructive-destructive,"{""atom_id"":""constructive-destructive"",""atom_number"":5,""atom_name"":""The Constructive / Destructive Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,cryptographic,"{""atom_id"":""cryptographic"",""atom_number"":6,""atom_name"":""The Cryptographic Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,boids-flocking,"{""atom_id"":""boids-flocking"",""atom_number"":22,""atom_name"":""The Boids Flocking Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,reality-tear,"{""atom_id"":""reality-tear"",""atom_number"":56,""atom_name"":""The Reality Tear Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,exhale-release,"{""atom_id"":""exhale-release"",""atom_number"":579,""atom_name"":""The Exhale Release Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,z-axis-parallax,"{""atom_id"":""z-axis-parallax"",""atom_number"":3,""atom_name"":""The Z-Axis Parallax Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,l-system-branching,"{""atom_id"":""l-system-branching"",""atom_number"":21,""atom_name"":""The L-System Branching Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,mycelial-routing,"{""atom_id"":""mycelial-routing"",""atom_number"":24,""atom_name"":""The Mycelial Routing Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,apneic-pause,"{""atom_id"":""apneic-pause"",""atom_number"":37,""atom_name"":""The Apneic Pause Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,retrocausal,"{""atom_id"":""retrocausal"",""atom_number"":19,""atom_name"":""The Retrocausal Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,phase-lock,"{""atom_id"":""phase-lock"",""atom_number"":41,""atom_name"":""The Phase Lock Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,tempo-override,"{""atom_id"":""tempo-override"",""atom_number"":47,""atom_name"":""The Tempo Override Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,lag-spike,"{""atom_id"":""lag-spike"",""atom_number"":52,""atom_name"":""The Lag Spike Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,kernel-panic,"{""atom_id"":""kernel-panic"",""atom_number"":54,""atom_name"":""The Kernel Panic Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,ego-zoom,"{""atom_id"":""ego-zoom"",""atom_number"":75,""atom_name"":""The Ego Zoom Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,friction-polish,"{""atom_id"":""friction-polish"",""atom_number"":119,""atom_name"":""The Friction Polish Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,ten-year-echo,"{""atom_id"":""ten-year-echo"",""atom_number"":149,""atom_name"":""The 10-Year Echo Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,binary-breaker,"{""atom_id"":""binary-breaker"",""atom_number"":221,""atom_name"":""The Binary Breaker Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,sisyphus-smile,"{""atom_id"":""sisyphus-smile"",""atom_number"":264,""atom_name"":""The Sisyphus Smile Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,infinite-canvas,"{""atom_id"":""infinite-canvas"",""atom_number"":269,""atom_name"":""The Infinite Canvas Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,lila-seal,"{""atom_id"":""lila-seal"",""atom_number"":270,""atom_name"":""The Lila Seal"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,silence-gap,"{""atom_id"":""silence-gap"",""atom_number"":314,""atom_name"":""The Silence Gap Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
navicue-atom-approved-2026-03-06T21:43:20.605Z,kinetic-battery,"{""atom_id"":""kinetic-battery"",""atom_number"":359,""atom_name"":""The Kinetic Battery Engine"",""approved_grade"":""hero-grade"",""ingest_readiness"":""backend-ready"",""reviewer"":""codex"",""reviewed_at"":""2026-03-06T21:43:20.204Z"",""source"":""wave2-hero""}"
